horizon_h,features,model,test_n,test_events,event_rate,at05_thr,at05_accuracy,at05_balanced_accuracy,at05_precision,at05_recall,at05_f1,at05_roc_auc,at05_average_precision,at05_tp,at05_fp,at05_fn,at05_tn,best_thr,best_accuracy,best_balanced_accuracy,best_precision,best_recall,best_f1,best_roc_auc,best_average_precision,best_tp,best_fp,best_fn,best_tn
1,weather_time,logistic_balanced,2029,130,0.06407097092163627,0.5,0.8861508132084771,0.6883784988050391,0.27149321266968324,0.46153846153846156,0.3418803418803419,0.8214080285170333,0.25999281377744343,60,161,70,1738,0.5729113924050633,0.9083292262198127,0.6858954105399604,0.3333333333333333,0.4307692307692308,0.37583892617449666,0.8214080285170333,0.25999281377744343,56,112,74,1787
1,weather_time,hist_gradient_boost,2029,130,0.06407097092163627,0.5,0.9117792015771315,0.6017499088589136,0.2831858407079646,0.24615384615384617,0.26337448559670784,0.8355956576335724,0.22864242551549382,32,81,98,1818,0.19772151898734178,0.8511582060128142,0.7628387410377931,0.25,0.6615384615384615,0.3628691983122363,0.8355956576335724,0.22864242551549382,86,258,44,1641
1,weather_time,extra_trees_balanced,2029,130,0.06407097092163627,0.5,0.932971907343519,0.5020030785433629,0.125,0.007692307692307693,0.014492753623188406,0.8455340867663144,0.29969541754048784,1,7,129,1892,0.2865822784810127,0.917200591424347,0.7192976060274638,0.3855421686746988,0.49230769230769234,0.43243243243243246,0.8455340867663144,0.29969541754048784,64,102,66,1797
1,weather_time_recent_pm25,logistic_balanced,2011,127,0.06315266036797614,0.5,0.8637493784186971,0.8648649213434307,0.2997275204359673,0.8661417322834646,0.44534412955465585,0.9391101191968838,0.5290154379144073,110,257,17,1627,0.8,0.9239184485330681,0.841903221492218,0.4398148148148148,0.7480314960629921,0.5539358600583091,0.9391101191968838,0.5290154379144073,95,121,32,1763
1,weather_time_recent_pm25,hist_gradient_boost,2011,127,0.06315266036797614,0.5,0.9393336648433616,0.8244290920641288,0.5146198830409356,0.6929133858267716,0.5906040268456376,0.9335932928766071,0.5445107029758111,88,83,39,1801,0.5037974683544304,0.939830929885629,0.8246944848454453,0.5176470588235295,0.6929133858267716,0.5925925925925926,0.9335932928766071,0.5445107029758111,88,82,39,1802
1,weather_time_recent_pm25,extra_trees_balanced,2011,127,0.06315266036797614,0.5,0.9418199900546992,0.6568617617065383,0.5675675675675675,0.33070866141732286,0.417910447761194,0.9355492585719779,0.49926044902122896,42,32,85,1852,0.29645569620253165,0.9249129786176031,0.8277475466840529,0.441747572815534,0.7165354330708661,0.5465465465465466,0.9355492585719779,0.49926044902122896,91,115,36,1769
6,weather_time,logistic_balanced,2028,130,0.0641025641025641,0.5,0.8772189349112426,0.7445205479452055,0.28205128205128205,0.5923076923076923,0.38213399503722084,0.8674475156034693,0.3112210503155065,77,196,53,1702,0.48405063291139244,0.8747534516765286,0.7682824025289778,0.2876712328767123,0.6461538461538462,0.3981042654028436,0.8674475156034693,0.3112210503155065,84,208,46,1690
6,weather_time,hist_gradient_boost,2028,130,0.0641025641025641,0.5,0.8994082840236687,0.5593256059009484,0.1864406779661017,0.16923076923076924,0.1774193548387097,0.8314460565777742,0.2015416627305204,22,96,108,1802,0.1582278481012658,0.863905325443787,0.7266596417281348,0.25170068027210885,0.5692307692307692,0.3490566037735849,0.8314460565777742,0.2015416627305204,74,220,56,1678
6,weather_time,extra_trees_balanced,2028,130,0.0641025641025641,0.5,0.9358974358974359,0.5071654373024236,0.5,0.015384615384615385,0.029850746268656716,0.8520507416713949,0.23518435253743442,2,2,128,1896,0.2668354430379747,0.8915187376725838,0.6805057955742887,0.27941176470588236,0.43846153846153846,0.3413173652694611,0.8520507416713949,0.23518435253743442,57,147,73,1751
6,weather_time_recent_pm25,logistic_balanced,2010,127,0.06318407960199005,0.5,0.8497512437810946,0.8059931170313748,0.2615803814713896,0.7559055118110236,0.38866396761133604,0.8941001333941063,0.3916346276530122,96,271,31,1612,0.6913924050632911,0.8855721393034826,0.7773823811057075,0.30855018587360594,0.6535433070866141,0.41919191919191917,0.8941001333941063,0.3916346276530122,83,186,44,1697
