horizon_h,features,model,test_n,accuracy,balanced_accuracy,macro_f1,weighted_f1
24,MERRA2_weather_time,majority_baseline,2023,0.370242214532872,0.25,0.1351010101010101,0.20008038866170355
24,MERRA2_weather_time,balanced_logistic,2023,0.2619871478002966,0.28325971524373467,0.16666675025018063,0.17955846560450714
24,MERRA2_weather_time,hist_gradient_boost,2023,0.38260009886307467,0.44291936031735724,0.3729077758791615,0.36405813836066886
24,combined_weather_time,majority_baseline,2023,0.370242214532872,0.25,0.1351010101010101,0.20008038866170355
24,combined_weather_time,balanced_logistic,2023,0.31784478497281266,0.2774703526270321,0.1983896711119714,0.23785550080620713
24,combined_weather_time,hist_gradient_boost,2023,0.38358872960949086,0.45826334946146596,0.37230238946561234,0.35807078914358514
48,MERRA2_weather_time,majority_baseline,2017,0.3713435795736242,0.25,0.1353940708604483,0.20111087570545516
48,MERRA2_weather_time,balanced_logistic,2017,0.2285572632622707,0.2633572498700557,0.11579869126181427,0.11004042350828053
48,MERRA2_weather_time,hist_gradient_boost,2017,0.2583044124938027,0.34330256231096157,0.23890411136166995,0.23452990801529525
48,combined_weather_time,majority_baseline,2017,0.3713435795736242,0.25,0.1353940708604483,0.20111087570545516
48,combined_weather_time,balanced_logistic,2017,0.2617749132374814,0.2885975073485198,0.1592100324296092,0.1654093651750491
48,combined_weather_time,hist_gradient_boost,2017,0.21269211700545365,0.3069063050957216,0.20318845594639584,0.1862116845418061
