horizon_h,features,model,test_n,accuracy,balanced_accuracy,macro_f1,weighted_f1
24,MERRA2_weather_time,majority_baseline,2023,0.6940187839841819,0.3333333333333333,0.27312518237525535,0.5686620208425978
24,MERRA2_weather_time,balanced_logistic,2023,0.39001482946119626,0.399517904027708,0.27382198670059044,0.3832802861730898
24,MERRA2_weather_time,hist_gradient_boost,2023,0.4310430054374691,0.4832663728398517,0.3892193675404257,0.4740532559771174
24,combined_weather_time,majority_baseline,2023,0.6940187839841819,0.3333333333333333,0.27312518237525535,0.5686620208425978
24,combined_weather_time,balanced_logistic,2023,0.4661393969352447,0.4185794089715658,0.3224081137309292,0.47899421476186127
24,combined_weather_time,hist_gradient_boost,2023,0.41473059812160157,0.47577687015123843,0.3776817577487452,0.45037281570823867
48,MERRA2_weather_time,majority_baseline,2017,0.6960832920178482,0.3333333333333333,0.2736042092955276,0.5713539561491137
48,MERRA2_weather_time,balanced_logistic,2017,0.34705007436787305,0.3920602200994358,0.24083107710611426,0.3158323185679893
48,MERRA2_weather_time,hist_gradient_boost,2017,0.4253842340109073,0.4494578336881216,0.3717902578840821,0.4754642899462396
48,combined_weather_time,majority_baseline,2017,0.6960832920178482,0.3333333333333333,0.2736042092955276,0.5713539561491137
48,combined_weather_time,balanced_logistic,2017,0.3713435795736242,0.404787442042344,0.2592553003514298,0.3493685503577803
48,combined_weather_time,hist_gradient_boost,2017,0.4283589489340605,0.46354739483233437,0.3825770878803196,0.48121577474962
